港•澳•台,#genre#
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu002-golive.flv

凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8

凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8

TVBS新闻,https://stream1.freetv.fun/b9008aeb80dd41cc97f7006561fd5af645903c8fe9f44cb2e1e866c841842054.ctv

TVBS综艺,https://stream1.freetv.fun/8871586757f1c7e9b7b3cbe52316756a555fde8ec488026539680323fbfa4a6b.ctv

無碼,#genre#
carib-002,https://fc.maa1808.com/c/fpsvmyqlej/fpsvmyqlej.m3u8
carib-004,https://fc.maa1808.com/f/xuyanbincr/xuyanbincr.m3u8
carib-146,https://fc.maa1808.com/c/nofftnyelj/nofftnyelj.m3u8
carib-182,https://fc.maa1808.com/f/tveemkomvr/tveemkomvr.m3u8
carib-206,https://fc.maa1808.com/d/oduhcvyunk/oduhcvyunk.m3u8
carib-239,https://fc.maa1808.com/n/uvbinnjany/uvbinnjany.m3u8
carib-288,https://fc.maa1808.com/m/jtzgqcaxvw/jtzgqcaxvw.m3u8
carib-311,https://fc.maa1808.com/h/kmqtdxwjmz/kmqtdxwjmz.m3u8
carib-337,https://fc.maa1808.com/d/uuvombzvvi/uuvombzvvi.m3u8
carib-339,https://fc.maa1808.com/d/pqkdrfftpw/pqkdrfftpw.m3u8
carib-363,https://fc.maa1808.com/b/ravxbmkthk/ravxbmkthk.m3u8
carib-375,https://fc.maa1808.com/f/lpeelnsfwx/lpeelnsfwx.m3u8
carib-375,https://fc.maa1808.com/n/qwpcalfmpo/qwpcalfmpo.m3u8
carib-420,https://fc.maa1808.com/d/qzwkkcltyl/qzwkkcltyl.m3u8
carib-431,https://fc.maa1808.com/d/jestvkpubl/jestvkpubl.m3u8
carib-433,https://fc.maa1808.com/g/vphfeljbji/vphfeljbji.m3u8
carib-449,https://fc.maa1808.com/b/txaohlcqnn/txaohlcqnn.m3u8
carib-457,https://fc.maa1808.com/h/unxtgmrxzw/unxtgmrxzw.m3u8
carib-474,https://fc.maa1808.com/h/oqmoimljpr/oqmoimljpr.m3u8
carib-477,https://fc.maa1808.com/c/avmrmbmugl/avmrmbmugl.m3u8
carib-478,https://fc.maa1808.com/d/lhnviuaoqi/lhnviuaoqi.m3u8
carib-495,https://fc.maa1808.com/g/xvbqwmnpqm/xvbqwmnpqm.m3u8
carib-531,https://fc.maa1808.com/n/cekgvsrnrr/cekgvsrnrr.m3u8
carib-533,https://fc.maa1808.com/f/dkpfeyqgrj/dkpfeyqgrj.m3u8
carib-541,https://fc.maa1808.com/c/rhmiiydppe/rhmiiydppe.m3u8
carib-563,https://fc.maa1808.com/f/pwkupqugdm/pwkupqugdm.m3u8
carib-563,https://fc.maa1808.com/d/qscypinana/qscypinana.m3u8
carib-589,https://fc.maa1808.com/n/okjmiigqsr/okjmiigqsr.m3u8
carib-639,https://fc.maa1808.com/n/rpsqccbbug/rpsqccbbug.m3u8
carib-665,https://fc.maa1808.com/c/mrpmoinlmj/mrpmoinlmj.m3u8
carib-665,https://fc.maa1808.com/g/oplnohpsmh/oplnohpsmh.m3u8
carib-674,https://fc.maa1808.com/g/jtlmkjipqv/jtlmkjipqv.m3u8
carib-675,https://fc.maa1808.com/c/qmlpmophlh/qmlpmophlh.m3u8
carib-710,https://fc.maa1808.com/h/mesmnroogk/mesmnroogk.m3u8
carib-717,https://fc.maa1808.com/f/ssoskhqgml/ssoskhqgml.m3u8
carib-744,https://fc.maa1808.com/c/kmiorrpitk/kmiorrpitk.m3u8
carib-758,https://fc.maa1808.com/c/rnpmkvqfrr/rnpmkvqfrr.m3u8
heyzo-0705,https://fc.maa1808.com/e/hacddcsdtd/hacddcsdtd.m3u8
heyzo-1199,https://fc.maa1808.com/d/bysmgbtdit/bysmgbtdit.m3u8
heyzo-1243,https://fc.maa1808.com/c/iqwejgyxjo/iqwejgyxjo.m3u8
heyzo-1262,https://fc.maa1808.com/d/fhctzryess/fhctzryess.m3u8
heyzo-1275,https://fc.maa1808.com/m/yifrmmuwzg/yifrmmuwzg.m3u8
heyzo-1395,https://fc.maa1808.com/n/navpsngdew/navpsngdew.m3u8
heyzo-1478,https://fc.maa1808.com/c/tbpdlnyuix/tbpdlnyuix.m3u8
heyzo-1544,https://fc.maa1808.com/h/xfjsphiogs/xfjsphiogs.m3u8
heyzo-1570,https://fc.maa1808.com/b/xisxqtvjhu/xisxqtvjhu.m3u8
heyzo-1590,https://fc.maa1808.com/m/qyqycucecx/qyqycucecx.m3u8
heyzo-1601,https://fc.maa1808.com/d/mdsjynuabc/mdsjynuabc.m3u8
heyzo-1638,https://fc.maa1808.com/n/hvxlbaoohy/hvxlbaoohy.m3u8
heyzo-1691,https://fc.maa1808.com/d/gxoiwurbtv/gxoiwurbtv.m3u8
heyzo-1722,https://fc.maa1808.com/f/xbztwfweja/xbztwfweja.m3u8
heyzo-1786,https://fc.maa1808.com/b/ehazmnswdt/ehazmnswdt.m3u8
pondo-273,https://fc.maa1808.com/g/pzvktykubw/pzvktykubw.m3u8
