mtv,#genre#
笼-张碧晨,http://192.168.1.219:99/娱乐/视频/mtv/笼-张碧晨.mp4
苹果香(黑大婶版)-黑大婶回乡带娃,http://192.168.1.219:99/娱乐/视频/mtv/苹果香(黑大婶版)-黑大婶回乡带娃.mp4
谁不是,http://192.168.1.219:99/娱乐/视频/mtv/谁不是.mp4
谭咏麟-水中花-国语版,http://192.168.1.219:99/娱乐/视频/mtv/谭咏麟-水中花-国语版.mp4
汪峰-无处安放,http://192.168.1.219:99/娱乐/视频/mtv/汪峰-无处安放.mp4
我要变好看,http://192.168.1.219:99/娱乐/视频/mtv/我要变好看.mp4
梦想山妹、花姐-情歌悠悠爱飞扬(DJ九零版),http://192.168.1.219:99/娱乐/视频/mtv/梦想山妹、花姐-情歌悠悠爱飞扬(DJ九零版).mp4
江湖大道,http://192.168.1.219:99/娱乐/视频/mtv/江湖大道.mp4
90年代,http://192.168.1.219:99/娱乐/视频/mtv/90年代.mp4
早安隆回-袁树雄,http://192.168.1.219:99/娱乐/视频/mtv/早安隆回-袁树雄.mp4
张鑫雨-夜夜夜夜熬(DJ版),http://192.168.1.219:99/娱乐/视频/mtv/张鑫雨-夜夜夜夜熬(DJ版).mp4
程响-可能,http://192.168.1.219:99/娱乐/视频/mtv/程响-可能.mp4
窒息,http://192.168.1.219:99/娱乐/视频/mtv/窒息.mp4
夜夜夜漫长,http://192.168.1.219:99/娱乐/视频/mtv/好多倩_夜夜夜漫长.mp4
刀酱520AM-520AM(我在520睡觉1314准时醒),http://192.168.1.219:99/娱乐/视频/mtv/刀酱520AM-520AM(我在520睡觉1314准时醒).mp4
孤勇者-陈奕迅,http://192.168.1.219:99/娱乐/视频/mtv/孤勇者-陈奕迅.mp4
向云端-小霞&海洋Bo,http://192.168.1.219:99/娱乐/视频/mtv/向云端-小霞&海洋Bo.mp4
李梦瑶-野花,http://192.168.1.219:99/娱乐/视频/mtv/李梦瑶-野花.mp4
谁不是-CJ,http://192.168.1.219:99/娱乐/视频/mtv/谁不是-CJ.mp4
吴亦凡-大碗宽面,http://192.168.1.219:99/娱乐/视频/mtv/吴亦凡-大碗宽面.mp4
辛晓琪-味道,http://192.168.1.219:99/娱乐/视频/mtv/辛晓琪-味道.mp4
咖啡[LHxKW],http://192.168.1.219:99/娱乐/视频/mtv/咖啡[LHxKW].mp4
晚风心里吹,http://192.168.1.219:99/娱乐/视频/mtv/晚风心里吹.mp4
刀剑如梦,http://192.168.1.219:99/娱乐/视频/mtv/刀剑如梦.mp4
奢香夫人-凤凰传奇,http://192.168.1.219:99/娱乐/视频/mtv/奢香夫人-凤凰传奇.mp4
英崽-浪子闲话,http://192.168.1.219:99/娱乐/视频/mtv/英崽-浪子闲话.mp4
唐伯虎Annie-落(花开花落日升日没),http://192.168.1.219:99/娱乐/视频/mtv/唐伯虎Annie-落(花开花落日升日没).mp4
阿YueYue-云与海,http://192.168.1.219:99/娱乐/视频/mtv/阿YueYue-云与海.mp4
张学友-偷心,http://192.168.1.219:99/娱乐/视频/mtv/张学友-偷心.mp4
那英-默,http://192.168.1.219:99/娱乐/视频/mtv/那英-默.mp4
延子-夜太深,http://192.168.1.219:99/娱乐/视频/mtv/延子-夜太深.mp4
闫旭&丁酉酉-爱情这杯酒谁喝都得醉,http://192.168.1.219:99/娱乐/视频/mtv/闫旭&丁酉酉-爱情这杯酒谁喝都得醉.mp4
金南玲-逆流成河,http://192.168.1.219:99/娱乐/视频/mtv/金南玲-逆流成河.mp4
许巍-蓝莲花,http://192.168.1.219:99/娱乐/视频/mtv/许巍-蓝莲花.mp4
林忆莲-伤痕,http://192.168.1.219:99/娱乐/视频/mtv/林忆莲-伤痕.mp4
姜鹏-江湖大道-DJ版,http://192.168.1.219:99/娱乐/视频/mtv/姜鹏-江湖大道-DJ版.mp4
刀郎-爱是你我,http://192.168.1.219:99/娱乐/视频/mtv/刀郎-爱是你我.mp4
大张伟-倍儿爽,http://192.168.1.219:99/娱乐/视频/mtv/大张伟-倍儿爽.mp4
张学友-吻别,http://192.168.1.219:99/娱乐/视频/mtv/张学友-吻别.mp4
藕断丝连-陈瑞,http://192.168.1.219:99/娱乐/视频/mtv/藕断丝连-陈瑞.mp4
求求你给点力-Mc,http://192.168.1.219:99/娱乐/视频/mtv/求求你给点力-Mc.mp4
孙露-离别的秋天,http://192.168.1.219:99/娱乐/视频/mtv/孙露-离别的秋天.mp4
司徒兰芳-女人不是妖,http://192.168.1.219:99/娱乐/视频/mtv/司徒兰芳-女人不是妖.mp4
执着-田震,http://192.168.1.219:99/娱乐/视频/mtv/执着-田震.mp4
李翊君-萍聚,http://192.168.1.219:99/娱乐/视频/mtv/李翊君-萍聚.mp4
白狐-陈瑞,http://192.168.1.219:99/娱乐/视频/mtv/白狐-陈瑞.mp4
任贤齐-心太软,http://192.168.1.219:99/娱乐/视频/mtv/任贤齐-心太软.mp4
离别开出花-就是南方凯,http://192.168.1.219:99/娱乐/视频/mtv/离别开出花-就是南方凯.mp4
于冬然-其实都没有,http://192.168.1.219:99/娱乐/视频/mtv/于冬然-其实都没有.mp4
侯旭-逃,http://192.168.1.219:99/娱乐/视频/mtv/侯旭-逃.mp4
你莫走-山水组合,http://192.168.1.219:99/娱乐/视频/mtv/你莫走-山水组合.mp4
海伦-桥边姑娘,http://192.168.1.219:99/娱乐/视频/mtv/海伦-桥边姑娘.mp4
迪克牛仔-有多少爱可以重来,http://192.168.1.219:99/娱乐/视频/mtv/迪克牛仔-有多少爱可以重来.mp4
飘洋过海来看你-娃娃,http://192.168.1.219:99/娱乐/视频/mtv/飘洋过海来看你-娃娃.mp4
你的爱情(Live)-逃跑计划,http://192.168.1.219:99/娱乐/视频/mtv/你的爱情(Live)-逃跑计划.mp4
无所谓-杨坤,http://192.168.1.219:99/娱乐/视频/mtv/无所谓-杨坤.mp4
得意的笑-李丽芬,http://192.168.1.219:99/娱乐/视频/mtv/得意的笑-李丽芬.mp4
梦醒时分-陈淑桦,http://192.168.1.219:99/娱乐/视频/mtv/梦醒时分-陈淑桦.mp4
音乐best-love-mp3,#genre#
0002-苹果香(黑大婶版)-黑大婶回乡带娃,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0002-苹果香(黑大婶版)-黑大婶回乡带娃.mp3
0003-谁不是-金池,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0003-谁不是-金池.mp3
0004-延子-夜太深,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0004-延子-夜太深.mp3
0005-汪峰-无处安放,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0005-汪峰-无处安放.mp3
0006-早安隆回-袁树雄,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0006-早安隆回-袁树雄.mp3
0007-张鑫雨-夜夜夜夜熬(DJ版),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0007-张鑫雨-夜夜夜夜熬(DJ版).mp3
0008-程响-可能,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0008-程响-可能.mp3
0009-刀酱520AM-520AM(我在520睡觉1314准时醒),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0009-刀酱520AM-520AM(我在520睡觉1314准时醒).mp3
0010-孤勇者-陈奕迅,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0010-孤勇者-陈奕迅.mp3
0011-浩然H.R-年少的你啊,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0011-浩然H.R-年少的你啊.mp3
0012-秒针(Dj版)-阿梨粤&R7,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0012-秒针(Dj版)-阿梨粤&R7.mp3
0013-就是南方凯-离别开出花,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0013-就是南方凯-离别开出花.mp3
0014-奢香夫人-凤凰传奇,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0014-奢香夫人-凤凰传奇.mp3
0015-向云端-小霞&海洋Bo,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0015-向云端-小霞&海洋Bo.mp3
0016-李梦瑶-野花,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0016-李梦瑶-野花.mp3
0017-唐伯虎Annie-落(花开花落日升日没),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0017-唐伯虎Annie-落(花开花落日升日没).mp3
0018-侯泽润-一句先苦后甜,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0018-侯泽润-一句先苦后甜.mp3
0019-梦想山妹、花姐-情歌悠悠爱飞扬(DJ九零版),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0019-梦想山妹、花姐-情歌悠悠爱飞扬(DJ九零版).mp3
0020-我来人间一趟-魏佳艺,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0020-我来人间一趟-魏佳艺.mp3
0021-于冬然-其实都没有,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0021-于冬然-其实都没有.mp3
0022-侯泽润-我把故事酿成酒,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0022-侯泽润-我把故事酿成酒.mp3
0023-苏谭谭-一半疯了一半算了,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0023-苏谭谭-一半疯了一半算了.mp3
0024-鹏鹏音乐、付豪-夜夜夜漫长,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0024-鹏鹏音乐、付豪-夜夜夜漫长.mp3
0025-晚风心里吹-阿梨粤,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0025-晚风心里吹-阿梨粤.MP3
0026-英崽-浪子闲话,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0026-英崽-浪子闲话.mp3
0027-阿YueYue-云与海,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0027-阿YueYue-云与海.mp3
0028-张妙格-我期待的不是雪(而是有你的冬天),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0028-张妙格-我期待的不是雪(而是有你的冬天).mp3
0029-齐豫-九月的高跟鞋,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0029-齐豫-九月的高跟鞋.mp3
0030-谭咏麟-水中花-国语版,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0030-谭咏麟-水中花-国语版.mp3
0031-花姐-一个多情又无情的人(沈念DJ版),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0031-花姐-一个多情又无情的人(沈念DJ版).mp3
0032-闻人听書_-一笑江湖(DJ弹鼓版),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0032-闻人听書_-一笑江湖(DJ弹鼓版).mp3
0033-程jiajia-别错过,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0033-程jiajia-别错过.mp3
0034-张冬玲-爱情着了火(DJ阿远),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0034-张冬玲-爱情着了火(DJ阿远).mp3
0035-王赫野-大风吹,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0035-王赫野-大风吹.MP3
0036-海来阿木-来跳舞(中文版),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0036-海来阿木-来跳舞(中文版).mp3
0037-下辈子不一定还能遇见你-陈雅森,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0037-下辈子不一定还能遇见你-陈雅森.mp3
0038-那英-默,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0038-那英-默.mp3
0039-海来阿木-不过人间,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0039-海来阿木-不过人间.mp3
0040-你笑起来真好看-李昕融&樊桐舟&李凯稠,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0040-你笑起来真好看-李昕融&樊桐舟&李凯稠.mp3
0041-三生石下-大欢,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0041-三生石下-大欢.mp3
0042-逃之夭夭(DJheap九天版)-张禾禾,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0042-逃之夭夭(DJheap九天版)-张禾禾.mp3
0043-等什么君-难渡,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0043-等什么君-难渡.mp3
0044-莫叫姐姐-你能不能不要离开我（莫叫语版）,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0044-莫叫姐姐-你能不能不要离开我（莫叫语版）.mp3
0045-孙露-人生何处不相逢,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0045-孙露-人生何处不相逢.mp3
0046-I-am-you--kim-taylor,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0046-I-am-you--kim-taylor.MP3
0047-孙露-最真的梦,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0047-孙露-最真的梦.mp3
0048-吴亦凡-大碗宽面,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0048-吴亦凡-大碗宽面.mp3
0049-阿悠悠-旧梦一场,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0049-阿悠悠-旧梦一场.mp3
0050-海伦-桥边姑娘,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0050-海伦-桥边姑娘.mp3
0051-最熟悉的陌生人-萧亚轩,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0051-最熟悉的陌生人-萧亚轩.mp3
0052-李宇春-无价之姐,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0052-李宇春-无价之姐.mp3
0053-探窗-国风新语&浮生梦&汐音社,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0053-探窗-国风新语&浮生梦&汐音社.mp3
0054-海来阿木-点歌的人,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0054-海来阿木-点歌的人.mp3
0055-梦涵-爱的暴风雨(粤语版),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0055-梦涵-爱的暴风雨(粤语版).mp3
0056-等什么君-辞九门回忆,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0056-等什么君-辞九门回忆.mp3
0057-妃儿广场舞蹈《不过人间》简单爆火时尚流行舞附教学,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0057-妃儿广场舞蹈《不过人间》简单爆火时尚流行舞附教学.mp3
0058-Robbie-Williams-Better-Man,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0058-Robbie-Williams-Better-Man.mp3
0059-程响-想起了你,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0059-程响-想起了你.mp3
0060-梦然-少年,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0060-梦然-少年.mp3
0061-侯旭-逃,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0061-侯旭-逃.mp3
0062-杨乃文-推开世界的门,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0062-杨乃文-推开世界的门.mp3
0063-蒋雪儿-莫问归期,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0063-蒋雪儿-莫问归期.mp3
0064-半阳-流浪,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0064-半阳-流浪.mp3
0065-梦然-野花,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0065-梦然-野花.mp3
0066-海来阿木-你的万水千山,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0066-海来阿木-你的万水千山.mp3
0067-苏谭谭-一路向北,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0067-苏谭谭-一路向北.mp3
0068-小曼-等一分钟,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0068-小曼-等一分钟.mp3
0069-山水组合-你莫走,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0069-山水组合-你莫走.mp3
0070-OneRepublic-Apologize,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0070-OneRepublic-Apologize.mp3
0071-鹤勇-孤独与烈酒,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0071-鹤勇-孤独与烈酒.mp3
0072-岳思思-为你而痛,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0072-岳思思-为你而痛.mp3
0073-逃跑计划-你的爱情(Live),http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0073-逃跑计划-你的爱情(Live).mp3
0074-逃跑计划--夜空中最亮的星,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0074-逃跑计划--夜空中最亮的星.mp3
0075-孙露-再度重相逢,http://192.168.1.219:99/娱乐/音乐/best-love-mp3/0075-孙露-再度重相逢.mp3
音乐best-love-mp3-2,#genre#
0073-闫旭&丁酉酉-爱情这杯酒谁喝都得醉（《古村女人》片尾曲）,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0073-闫旭&丁酉酉-爱情这杯酒谁喝都得醉（《古村女人》片尾曲）.mp3
0074-金南玲-逆流成河-《我在锡林郭勒等你》电视剧插曲,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0074-金南玲-逆流成河-《我在锡林郭勒等你》电视剧插曲.mp3
0075-白若溪-无处安放,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0075-白若溪-无处安放.mp3
0076-苏勒亚其其格-歌在飞,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0076-苏勒亚其其格-歌在飞.mp3
0077-Céline-Dion--Because-You-Loved-Me,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0077-Céline-Dion--Because-You-Loved-Me.mp3
0078-许巍-蓝莲花-DJ版,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0078-许巍-蓝莲花-DJ版.mp3
0079-金志文、徐佳莹-远走高飞(吉特巴),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0079-金志文、徐佳莹-远走高飞(吉特巴).mp3
0080-王宇宙Leto、乔浚丞-若月亮没来(若是月亮还没来),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0080-王宇宙Leto、乔浚丞-若月亮没来(若是月亮还没来).mp3
0081-南合文斗-让泪化作相思雨,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0081-南合文斗-让泪化作相思雨.mp3
0082-张雨生-一天到晚游泳的鱼,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0082-张雨生-一天到晚游泳的鱼.mp3
0083-方圆_萧敬腾-怎么说我不爱你(Live),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0083-方圆_萧敬腾-怎么说我不爱你(Live).mp3
0084-Lenka--Trouble-Is-a-Friend,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0084-Lenka--Trouble-Is-a-Friend.mp3
0085-梁博、希林娜依·高-男孩,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0085-梁博、希林娜依·高-男孩.mp3
0086-吉克隽逸_杨坤-答案(Live),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0086-吉克隽逸_杨坤-答案(Live).mp3
0087-李瑨瑶-小镇姑娘,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0087-李瑨瑶-小镇姑娘.mp3
0088-杨坤-我没你想的那么坚强,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0088-杨坤-我没你想的那么坚强.mp3
0089-海来阿木、单依纯-不如见一面,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0089-海来阿木、单依纯-不如见一面.mp3
0090-周深-大鱼(Live),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0090-周深-大鱼(Live).mp3
0091-Enrique-Iglesias--Donot-Turn-Off-The-Lights(AlbumVersion),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0091-Enrique-Iglesias--Donot-Turn-Off-The-Lights(AlbumVersion).mp3
0092-Jam-七月上,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0092-Jam-七月上.mp3
0093-大王叫我来巡山-贾乃亮,贾云馨,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0093-大王叫我来巡山-贾乃亮,贾云馨.mp3
0094-孙露-想着你亲爱的,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0094-孙露-想着你亲爱的.mp3
0095-杨坤-无所谓,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0095-杨坤-无所谓.mp3
0096-海伦-我习惯了一个人,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0096-海伦-我习惯了一个人.mp3
0097-梦蝶-悠殇叹,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0097-梦蝶-悠殇叹.mp3
0098-蓝波-你到底有没有爱过我,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0098-蓝波-你到底有没有爱过我.mp3
0099-张学友-偷心,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0099-张学友-偷心.mp3
0100-降央卓玛-西海情歌(Live),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0100-降央卓玛-西海情歌(Live).mp3
0101-张学友、高慧君-你最珍贵(AlbumVersion),http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0101-张学友、高慧君-你最珍贵(AlbumVersion).mp3
